"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","Canonical Link Element 2","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.neuform-fitness.com/","text/html","200","OK","Indexable","","Structure That Builds Freedom | NeuForm Fitness","47","437","Evidence-based training plans, tools, and coaching built around progression, joint safety, and measurable results.","114","699","","0","0","","0","Build Muscle & Strength Smarter.","32","Automatic Training Plan (4 Weeks)","33","Get Your Free Workout Tracking Log","34","index,follow,max-image-preview:large","","","","https://www.neuform-fitness.com/","","","","","","","138141","43542","43542","16.680","","695","121","5.744","66.010","Normal","3.320","0","0","","152","51","0","98.080","21","13","0","0","0","0","","","","","cd32d25549fb6985a7078c836f32d630","0.675","Tue, 20 Jan 2026 15:54:52 GMT","","","","","1.1","","","","","","https://www.neuform-fitness.com/","2026-01-20 09:54:52"
"https://www.neuform-fitness.com/terms-privacy","text/html","200","OK","Indexable","","Terms & Privacy | NeuForm Fitness","33","309","Read NeuForm Fitness terms of service & privacy policy: licensing, refunds, data use & security. Contact us with any questions.","127","785","","0","0","","0","Terms & Privacy","15","Terms of Service","16","Privacy Policy","14","index,follow","","","","https://www.neuform-fitness.com/terms-privacy","","","","","","","130167","42146","42146","16.145","","3585","632","5.672","49.387","Hard","18.522","1","0","","51","50","0","96.150","19","10","0","0","0","0","","","","","75b0d8f6c9a16e1135c6c5891cc860ef","0.235","Tue, 20 Jan 2026 15:54:53 GMT","","","","","1.1","","","","","","https://www.neuform-fitness.com/terms-privacy","2026-01-20 09:54:53"
"https://www.neuform-fitness.com/training-plans/6-week-beginner-foundation-training-plan","text/html","200","OK","Indexable","","6-Week Beginner Foundation Training Plan | NeuForm Fitness","58","543","Learn how to train with purpose and build lasting results. The 6-Week Beginner Foundation Plan develops form, control, and confidence in every session.","151","945","","0","0","","0","6-Week Beginner Foundation Training Plan","40","See inside plan","15","Frequently Asked Questions","26","","","","","https://www.neuform-fitness.com/training-plans/6-week-beginner-foundation-training-plan","","","","","","","162052","49452","49452","18.944","","319","64","4.984","81.108","Easy","1.937","1","1","","6","4","0","7.690","17","11","0","3","2","0","","","","","c4375f6041e51e5a737e2feccabdf540","0.245","Tue, 20 Jan 2026 15:54:53 GMT","","","","","1.1","","","","","","https://www.neuform-fitness.com/training-plans/6-week-beginner-foundation-training-plan","2026-01-20 09:54:53"
"https://www.neuform-fitness.com/training-plans","text/html","200","OK","Indexable","","6-Week Training Plans | NeuForm Fitness","39","363","Compare NeuForm’s evidence-based 6-week plans for hypertrophy, strength, fat loss, speed & power, and functional fitness.","121","767","","0","0","","0","Choose Your Fitness Journey","27","Automatic Training Plan (4 Weeks)","33","Get in Touch","12","index,follow,max-image-preview:large","","","","https://www.neuform-fitness.com/training-plans","","","","","","","219140","58830","58830","22.537","","816","162","5.037","68.394","Normal","2.455","1","0","","111","51","0","98.080","35","20","0","0","0","0","","","","","223f036daa465aa23f048d731986257a","0.514","Tue, 20 Jan 2026 15:54:53 GMT","","","","","1.1","","","","","","https://www.neuform-fitness.com/training-plans","2026-01-20 09:54:53"
"https://www.neuform-fitness.com/training-plans/6-week-fat-loss-training-plan","text/html","200","OK","Indexable","","6-Week Fat Loss Training Plan | NeuForm Fitness","47","433","A structured 6-week plan focused on sustainable fat loss, strength retention, and efficient workouts.","101","621","","0","0","","0","6-Week Fat-Loss Training Plan","29","See inside plan","15","Frequently Asked Questions","26","","","","","https://www.neuform-fitness.com/training-plans/6-week-fat-loss-training-plan","","","","","","","162983","49902","49902","19.117","","339","65","5.215","73.019","Fairly Easy","2.353","1","1","","5","3","0","5.770","17","11","0","3","2","0","","","","","c117a31f2fcdad8438c05401e33e668c","0.602","Tue, 20 Jan 2026 15:54:53 GMT","","","","","1.1","","","","","","https://www.neuform-fitness.com/training-plans/6-week-fat-loss-training-plan","2026-01-20 09:54:53"
"https://www.neuform-fitness.com/results","text/html","200","OK","Indexable","","Client Results & Reviews • Real Proof | NeuForm","47","421","Verified testimonials, PRs & physique changes from NeuForm clients. Filterable reviews with ratings and photos.","111","695","","0","0","","0","Client Results","14","","0","","0","","","","","https://www.neuform-fitness.com/results","","","","","","","100843","31880","31880","12.213","","95","21","4.524","100.000","Very Easy","0.599","1","0","","61","51","0","98.080","17","11","0","0","0","0","","","","","6bcd30dc2fd4c09c7e549654ce26b031","0.463","Tue, 20 Jan 2026 15:54:53 GMT","","","","","1.1","","","","","","https://www.neuform-fitness.com/results","2026-01-20 09:54:53"
"https://www.neuform-fitness.com/review","text/html","200","OK","Indexable","","Share Results & Leave a Review | NeuForm","40","376","Share your progress—PRs, photos & a short testimonial. With permission, we may publish your first name and review on product pages.","131","836","","0","0","","0","Share Your Results","18","Share Your Results","18","","0","index,follow","","","","https://www.neuform-fitness.com/review","","","","","","","101040","32171","32171","12.324","","90","22","4.091","80.483","Easy","0.854","1","0","","111","51","0","98.080","14","10","0","0","0","0","","","","","45b9d95662f78312e0c70bb2b250859b","0.324","Tue, 20 Jan 2026 15:54:53 GMT","","","","","1.1","","","","","","https://www.neuform-fitness.com/review","2026-01-20 09:54:53"
"https://www.neuform-fitness.com/library","text/html","200","OK","Indexable","","Library","7","60","Explore the NeuForm Library—training plans, tools, and resources built for measurable progress through structure, clarity, and repeatable systems.","146","903","","0","0","","0","NeuForm Fitness Library","23","","0","","0","","","","","https://www.neuform-fitness.com/library","","","","","","","115669","35496","35496","13.598","","34","12","2.833","79.547","Fairly Easy","0.222","1","0","","51","51","0","98.080","14","10","0","0","0","0","","","","","aee1d2465391d6b916017231dcb39ec7","0.245","Tue, 20 Jan 2026 15:54:53 GMT","","","","","1.1","","","","","","https://www.neuform-fitness.com/library","2026-01-20 09:54:53"
"https://www.neuform-fitness.com/automatic-plan","text/html","200","OK","Indexable","","Automatic Training Plan (4 Weeks) | NeuForm Fitness","51","473","Buy once, complete a short intake, and get a personalized 4-week training plan delivered by email. Built for your goals, schedule, injuries, and equipment.","155","939","","0","0","","0","Your training plan — built around your schedule, goals, and equipment","69","","0","","0","index,follow,max-image-preview:large","","","","https://www.neuform-fitness.com/automatic-plan","","","","","","","118616","35687","35687","13.671","","685","127","5.394","79.092","Fairly Easy","3.494","1","0","","12","4","0","7.690","27","12","0","0","0","0","","","","","14307b43947a97597482d169d5b42806","0.265","Tue, 20 Jan 2026 15:54:53 GMT","","","","","1.1","","","","","","https://www.neuform-fitness.com/automatic-plan","2026-01-20 09:54:53"
"https://www.neuform-fitness.com/contact","text/html","200","OK","Indexable","","Contact NeuForm • New Lenox, IL","31","297","Get help with plans, tools & orders. We reply within 24 hours. Serving New Lenox, IL & Online—use the form or email Chris directly.","131","800","","0","0","","0","Get in Touch","12","Get in Touch","12","","0","index,follow,max-image-preview:large","","","","https://www.neuform-fitness.com/contact","","","","","","","97097","31482","31482","12.060","","70","20","3.500","90.885","Very Easy","0.487","1","0","","57","50","0","96.150","14","10","0","0","0","0","","","","","a8e27cef6996aa454b9a18424ec3292","0.304","Tue, 20 Jan 2026 15:54:54 GMT","","","","","1.1","","","","","","https://www.neuform-fitness.com/contact","2026-01-20 09:54:53"
